id,category,sentence
67,사회,투표는 했는데 결과는 항상 똑같네?
68,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
69,사회,이해충돌? 그건 권력자에겐 예외지.
70,사회,위기를 기회로 만든다며 남의 집을 태우더라.
71,사회,공정은 우리 편일 때만 외치는 거지.
72,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
73,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
74,사회,정치는 국민이 아니라 이미지 싸움이더라.
75,사회,세금은 잘도 걷는데 복지는 사라졌네?
76,사회,사과는 했는데 책임은 없대.
77,사회,투표는 했는데 결과는 항상 똑같네?
78,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
79,사회,이해충돌? 그건 권력자에겐 예외지.
80,사회,위기를 기회로 만든다며 남의 집을 태우더라.
81,사회,공정은 우리 편일 때만 외치는 거지.
82,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
83,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
84,사회,정치는 국민이 아니라 이미지 싸움이더라.
85,사회,세금은 잘도 걷는데 복지는 사라졌네?
86,사회,사과는 했는데 책임은 없대.
87,사회,투표는 했는데 결과는 항상 똑같네?
88,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
89,사회,이해충돌? 그건 권력자에겐 예외지.
90,사회,위기를 기회로 만든다며 남의 집을 태우더라.
91,사회,공정은 우리 편일 때만 외치는 거지.
92,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
93,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
94,사회,정치는 국민이 아니라 이미지 싸움이더라.
95,사회,세금은 잘도 걷는데 복지는 사라졌네?
96,사회,사과는 했는데 책임은 없대.
97,사회,투표는 했는데 결과는 항상 똑같네?
98,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
99,사회,이해충돌? 그건 권력자에겐 예외지.
100,사회,위기를 기회로 만든다며 남의 집을 태우더라.
101,사회,공정은 우리 편일 때만 외치는 거지.
102,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
103,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
104,사회,정치는 국민이 아니라 이미지 싸움이더라.
105,사회,세금은 잘도 걷는데 복지는 사라졌네?
106,사회,사과는 했는데 책임은 없대.
107,사회,투표는 했는데 결과는 항상 똑같네?
108,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
109,사회,이해충돌? 그건 권력자에겐 예외지.
110,사회,위기를 기회로 만든다며 남의 집을 태우더라.
111,사회,공정은 우리 편일 때만 외치는 거지.
112,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
113,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
114,사회,정치는 국민이 아니라 이미지 싸움이더라.
115,사회,세금은 잘도 걷는데 복지는 사라졌네?
116,사회,사과는 했는데 책임은 없대.
117,사회,투표는 했는데 결과는 항상 똑같네?
118,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
119,사회,이해충돌? 그건 권력자에겐 예외지.
120,사회,위기를 기회로 만든다며 남의 집을 태우더라.
121,사회,공정은 우리 편일 때만 외치는 거지.
122,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
123,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
124,사회,정치는 국민이 아니라 이미지 싸움이더라.
125,사회,세금은 잘도 걷는데 복지는 사라졌네?
126,사회,사과는 했는데 책임은 없대.
127,사회,투표는 했는데 결과는 항상 똑같네?
128,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
129,사회,이해충돌? 그건 권력자에겐 예외지.
130,사회,위기를 기회로 만든다며 남의 집을 태우더라.
131,사회,공정은 우리 편일 때만 외치는 거지.
132,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
133,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
134,사회,정치는 국민이 아니라 이미지 싸움이더라.
135,사회,세금은 잘도 걷는데 복지는 사라졌네?
136,사회,사과는 했는데 책임은 없대.
137,사회,투표는 했는데 결과는 항상 똑같네?
138,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
139,사회,이해충돌? 그건 권력자에겐 예외지.
140,사회,위기를 기회로 만든다며 남의 집을 태우더라.
141,사회,공정은 우리 편일 때만 외치는 거지.
142,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
143,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
144,사회,정치는 국민이 아니라 이미지 싸움이더라.
145,사회,세금은 잘도 걷는데 복지는 사라졌네?
146,사회,사과는 했는데 책임은 없대.
147,사회,투표는 했는데 결과는 항상 똑같네?
148,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
149,사회,이해충돌? 그건 권력자에겐 예외지.
150,사회,위기를 기회로 만든다며 남의 집을 태우더라.
151,사회,공정은 우리 편일 때만 외치는 거지.
152,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
153,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
154,사회,정치는 국민이 아니라 이미지 싸움이더라.
155,사회,세금은 잘도 걷는데 복지는 사라졌네?
156,사회,사과는 했는데 책임은 없대.
157,사회,투표는 했는데 결과는 항상 똑같네?
158,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
159,사회,이해충돌? 그건 권력자에겐 예외지.
160,사회,위기를 기회로 만든다며 남의 집을 태우더라.
161,사회,공정은 우리 편일 때만 외치는 거지.
162,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
163,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
164,사회,정치는 국민이 아니라 이미지 싸움이더라.
165,사회,세금은 잘도 걷는데 복지는 사라졌네?
166,사회,사과는 했는데 책임은 없대.
167,사회,투표는 했는데 결과는 항상 똑같네?
168,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
169,사회,이해충돌? 그건 권력자에겐 예외지.
170,사회,위기를 기회로 만든다며 남의 집을 태우더라.
171,사회,공정은 우리 편일 때만 외치는 거지.
172,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
173,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
174,사회,정치는 국민이 아니라 이미지 싸움이더라.
175,사회,세금은 잘도 걷는데 복지는 사라졌네?
176,사회,사과는 했는데 책임은 없대.
177,사회,투표는 했는데 결과는 항상 똑같네?
178,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
179,사회,이해충돌? 그건 권력자에겐 예외지.
180,사회,위기를 기회로 만든다며 남의 집을 태우더라.
181,사회,공정은 우리 편일 때만 외치는 거지.
182,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
183,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
184,사회,정치는 국민이 아니라 이미지 싸움이더라.
185,사회,세금은 잘도 걷는데 복지는 사라졌네?
186,사회,사과는 했는데 책임은 없대.
187,사회,투표는 했는데 결과는 항상 똑같네?
188,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
189,사회,이해충돌? 그건 권력자에겐 예외지.
190,사회,위기를 기회로 만든다며 남의 집을 태우더라.
191,사회,공정은 우리 편일 때만 외치는 거지.
192,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
193,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
194,사회,정치는 국민이 아니라 이미지 싸움이더라.
195,사회,세금은 잘도 걷는데 복지는 사라졌네?
196,사회,사과는 했는데 책임은 없대.
197,사회,투표는 했는데 결과는 항상 똑같네?
198,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
199,사회,이해충돌? 그건 권력자에겐 예외지.
200,사회,위기를 기회로 만든다며 남의 집을 태우더라.
201,사회,공정은 우리 편일 때만 외치는 거지.
202,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
203,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
204,사회,정치는 국민이 아니라 이미지 싸움이더라.
205,사회,세금은 잘도 걷는데 복지는 사라졌네?
206,사회,사과는 했는데 책임은 없대.
207,사회,투표는 했는데 결과는 항상 똑같네?
208,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
209,사회,이해충돌? 그건 권력자에겐 예외지.
210,사회,위기를 기회로 만든다며 남의 집을 태우더라.
211,사회,공정은 우리 편일 때만 외치는 거지.
212,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
213,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
214,사회,정치는 국민이 아니라 이미지 싸움이더라.
215,사회,세금은 잘도 걷는데 복지는 사라졌네?
216,사회,사과는 했는데 책임은 없대.
217,사회,투표는 했는데 결과는 항상 똑같네?
218,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
219,사회,이해충돌? 그건 권력자에겐 예외지.
220,사회,위기를 기회로 만든다며 남의 집을 태우더라.
221,사회,공정은 우리 편일 때만 외치는 거지.
222,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
223,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
224,사회,정치는 국민이 아니라 이미지 싸움이더라.
225,사회,세금은 잘도 걷는데 복지는 사라졌네?
226,사회,사과는 했는데 책임은 없대.
227,사회,투표는 했는데 결과는 항상 똑같네?
228,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
229,사회,이해충돌? 그건 권력자에겐 예외지.
230,사회,위기를 기회로 만든다며 남의 집을 태우더라.
231,사회,공정은 우리 편일 때만 외치는 거지.
232,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
233,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
234,사회,정치는 국민이 아니라 이미지 싸움이더라.
235,사회,세금은 잘도 걷는데 복지는 사라졌네?
236,사회,사과는 했는데 책임은 없대.
237,사회,투표는 했는데 결과는 항상 똑같네?
238,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
239,사회,이해충돌? 그건 권력자에겐 예외지.
240,사회,위기를 기회로 만든다며 남의 집을 태우더라.
241,사회,공정은 우리 편일 때만 외치는 거지.
242,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
243,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
244,사회,정치는 국민이 아니라 이미지 싸움이더라.
245,사회,세금은 잘도 걷는데 복지는 사라졌네?
246,사회,사과는 했는데 책임은 없대.
247,사회,투표는 했는데 결과는 항상 똑같네?
248,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
249,사회,이해충돌? 그건 권력자에겐 예외지.
250,사회,위기를 기회로 만든다며 남의 집을 태우더라.
251,사회,공정은 우리 편일 때만 외치는 거지.
252,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
253,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
254,사회,정치는 국민이 아니라 이미지 싸움이더라.
255,사회,세금은 잘도 걷는데 복지는 사라졌네?
256,사회,사과는 했는데 책임은 없대.
257,사회,투표는 했는데 결과는 항상 똑같네?
258,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
259,사회,이해충돌? 그건 권력자에겐 예외지.
260,사회,위기를 기회로 만든다며 남의 집을 태우더라.
261,사회,공정은 우리 편일 때만 외치는 거지.
262,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
263,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
264,사회,정치는 국민이 아니라 이미지 싸움이더라.
265,사회,세금은 잘도 걷는데 복지는 사라졌네?
266,사회,사과는 했는데 책임은 없대.
267,사회,투표는 했는데 결과는 항상 똑같네?
268,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
269,사회,이해충돌? 그건 권력자에겐 예외지.
270,사회,위기를 기회로 만든다며 남의 집을 태우더라.
271,사회,공정은 우리 편일 때만 외치는 거지.
272,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
273,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
274,사회,정치는 국민이 아니라 이미지 싸움이더라.
275,사회,세금은 잘도 걷는데 복지는 사라졌네?
276,사회,사과는 했는데 책임은 없대.
277,사회,투표는 했는데 결과는 항상 똑같네?
278,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
279,사회,이해충돌? 그건 권력자에겐 예외지.
280,사회,위기를 기회로 만든다며 남의 집을 태우더라.
281,사회,공정은 우리 편일 때만 외치는 거지.
282,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
283,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
284,사회,정치는 국민이 아니라 이미지 싸움이더라.
285,사회,세금은 잘도 걷는데 복지는 사라졌네?
286,사회,사과는 했는데 책임은 없대.
287,사회,투표는 했는데 결과는 항상 똑같네?
288,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
289,사회,이해충돌? 그건 권력자에겐 예외지.
290,사회,위기를 기회로 만든다며 남의 집을 태우더라.
291,사회,공정은 우리 편일 때만 외치는 거지.
292,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
293,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
294,사회,정치는 국민이 아니라 이미지 싸움이더라.
295,사회,세금은 잘도 걷는데 복지는 사라졌네?
296,사회,사과는 했는데 책임은 없대.
297,사회,투표는 했는데 결과는 항상 똑같네?
298,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
299,사회,이해충돌? 그건 권력자에겐 예외지.
300,사회,위기를 기회로 만든다며 남의 집을 태우더라.
301,사회,공정은 우리 편일 때만 외치는 거지.
302,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
303,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
304,사회,정치는 국민이 아니라 이미지 싸움이더라.
305,사회,세금은 잘도 걷는데 복지는 사라졌네?
306,사회,사과는 했는데 책임은 없대.
307,사회,투표는 했는데 결과는 항상 똑같네?
308,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
309,사회,이해충돌? 그건 권력자에겐 예외지.
310,사회,위기를 기회로 만든다며 남의 집을 태우더라.
311,사회,공정은 우리 편일 때만 외치는 거지.
312,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
313,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
314,사회,정치는 국민이 아니라 이미지 싸움이더라.
315,사회,세금은 잘도 걷는데 복지는 사라졌네?
316,사회,사과는 했는데 책임은 없대.
317,사회,투표는 했는데 결과는 항상 똑같네?
318,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
319,사회,이해충돌? 그건 권력자에겐 예외지.
320,사회,위기를 기회로 만든다며 남의 집을 태우더라.
321,사회,공정은 우리 편일 때만 외치는 거지.
322,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
323,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
324,사회,정치는 국민이 아니라 이미지 싸움이더라.
325,사회,세금은 잘도 걷는데 복지는 사라졌네?
326,사회,사과는 했는데 책임은 없대.
327,사회,투표는 했는데 결과는 항상 똑같네?
328,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
329,사회,이해충돌? 그건 권력자에겐 예외지.
330,사회,위기를 기회로 만든다며 남의 집을 태우더라.
331,사회,공정은 우리 편일 때만 외치는 거지.
332,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
333,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
334,사회,정치는 국민이 아니라 이미지 싸움이더라.
335,사회,세금은 잘도 걷는데 복지는 사라졌네?
336,사회,사과는 했는데 책임은 없대.
337,사회,투표는 했는데 결과는 항상 똑같네?
338,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
339,사회,이해충돌? 그건 권력자에겐 예외지.
340,사회,위기를 기회로 만든다며 남의 집을 태우더라.
341,사회,공정은 우리 편일 때만 외치는 거지.
342,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
343,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
344,사회,정치는 국민이 아니라 이미지 싸움이더라.
345,사회,세금은 잘도 걷는데 복지는 사라졌네?
346,사회,사과는 했는데 책임은 없대.
347,사회,투표는 했는데 결과는 항상 똑같네?
348,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
349,사회,이해충돌? 그건 권력자에겐 예외지.
350,사회,위기를 기회로 만든다며 남의 집을 태우더라.
351,사회,공정은 우리 편일 때만 외치는 거지.
352,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
353,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
354,사회,정치는 국민이 아니라 이미지 싸움이더라.
355,사회,세금은 잘도 걷는데 복지는 사라졌네?
356,사회,사과는 했는데 책임은 없대.
357,사회,투표는 했는데 결과는 항상 똑같네?
358,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
359,사회,이해충돌? 그건 권력자에겐 예외지.
360,사회,위기를 기회로 만든다며 남의 집을 태우더라.
361,사회,공정은 우리 편일 때만 외치는 거지.
362,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
363,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
364,사회,정치는 국민이 아니라 이미지 싸움이더라.
365,사회,세금은 잘도 걷는데 복지는 사라졌네?
366,사회,사과는 했는데 책임은 없대.
367,사회,투표는 했는데 결과는 항상 똑같네?
368,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
369,사회,이해충돌? 그건 권력자에겐 예외지.
370,사회,위기를 기회로 만든다며 남의 집을 태우더라.
371,사회,공정은 우리 편일 때만 외치는 거지.
372,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
373,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
374,사회,정치는 국민이 아니라 이미지 싸움이더라.
375,사회,세금은 잘도 걷는데 복지는 사라졌네?
376,사회,사과는 했는데 책임은 없대.
377,사회,투표는 했는데 결과는 항상 똑같네?
378,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
379,사회,이해충돌? 그건 권력자에겐 예외지.
380,사회,위기를 기회로 만든다며 남의 집을 태우더라.
381,사회,공정은 우리 편일 때만 외치는 거지.
382,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
383,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
384,사회,정치는 국민이 아니라 이미지 싸움이더라.
385,사회,세금은 잘도 걷는데 복지는 사라졌네?
386,사회,사과는 했는데 책임은 없대.
387,사회,투표는 했는데 결과는 항상 똑같네?
388,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
389,사회,이해충돌? 그건 권력자에겐 예외지.
390,사회,위기를 기회로 만든다며 남의 집을 태우더라.
391,사회,공정은 우리 편일 때만 외치는 거지.
392,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
393,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
394,사회,정치는 국민이 아니라 이미지 싸움이더라.
395,사회,세금은 잘도 걷는데 복지는 사라졌네?
396,사회,사과는 했는데 책임은 없대.
397,사회,투표는 했는데 결과는 항상 똑같네?
398,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
399,사회,이해충돌? 그건 권력자에겐 예외지.
400,사회,위기를 기회로 만든다며 남의 집을 태우더라.
401,사회,공정은 우리 편일 때만 외치는 거지.
402,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
403,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
404,사회,정치는 국민이 아니라 이미지 싸움이더라.
405,사회,세금은 잘도 걷는데 복지는 사라졌네?
406,사회,사과는 했는데 책임은 없대.
407,사회,투표는 했는데 결과는 항상 똑같네?
408,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
409,사회,이해충돌? 그건 권력자에겐 예외지.
410,사회,위기를 기회로 만든다며 남의 집을 태우더라.
411,사회,공정은 우리 편일 때만 외치는 거지.
412,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
413,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
414,사회,정치는 국민이 아니라 이미지 싸움이더라.
415,사회,세금은 잘도 걷는데 복지는 사라졌네?
416,사회,사과는 했는데 책임은 없대.
417,사회,투표는 했는데 결과는 항상 똑같네?
418,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
419,사회,이해충돌? 그건 권력자에겐 예외지.
420,사회,위기를 기회로 만든다며 남의 집을 태우더라.
421,사회,공정은 우리 편일 때만 외치는 거지.
422,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
423,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
424,사회,정치는 국민이 아니라 이미지 싸움이더라.
425,사회,세금은 잘도 걷는데 복지는 사라졌네?
426,사회,사과는 했는데 책임은 없대.
427,사회,투표는 했는데 결과는 항상 똑같네?
428,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
429,사회,이해충돌? 그건 권력자에겐 예외지.
430,사회,위기를 기회로 만든다며 남의 집을 태우더라.
431,사회,공정은 우리 편일 때만 외치는 거지.
432,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
433,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
434,사회,정치는 국민이 아니라 이미지 싸움이더라.
435,사회,세금은 잘도 걷는데 복지는 사라졌네?
436,사회,사과는 했는데 책임은 없대.
437,사회,투표는 했는데 결과는 항상 똑같네?
438,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
439,사회,이해충돌? 그건 권력자에겐 예외지.
440,사회,위기를 기회로 만든다며 남의 집을 태우더라.
441,사회,공정은 우리 편일 때만 외치는 거지.
442,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
443,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
444,사회,정치는 국민이 아니라 이미지 싸움이더라.
445,사회,세금은 잘도 걷는데 복지는 사라졌네?
446,사회,사과는 했는데 책임은 없대.
447,사회,투표는 했는데 결과는 항상 똑같네?
448,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
449,사회,이해충돌? 그건 권력자에겐 예외지.
450,사회,위기를 기회로 만든다며 남의 집을 태우더라.
451,사회,공정은 우리 편일 때만 외치는 거지.
452,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
453,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
454,사회,정치는 국민이 아니라 이미지 싸움이더라.
455,사회,세금은 잘도 걷는데 복지는 사라졌네?
456,사회,사과는 했는데 책임은 없대.
457,사회,투표는 했는데 결과는 항상 똑같네?
458,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
459,사회,이해충돌? 그건 권력자에겐 예외지.
460,사회,위기를 기회로 만든다며 남의 집을 태우더라.
461,사회,공정은 우리 편일 때만 외치는 거지.
462,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
